Real,Imaginary
-0.00479138,-0.00674455
-0.0109866,-0.014954
-0.0112002,-0.0155644
-0.0051576,-0.00723285
-0.00424205,-0.00616471
0.0134281,0.0194707
0.0129093,0.0185552
0.0256659,0.0371408
0.029908,0.0438243
-0.00140384,-0.00189214
0.00091555,0.000976587
-0.000762959,-0.00106814
-0.000396738,9.1555e-05
-0.000885032,0.000152592
-0.000274665,-0.00073244
-0.000885032,0.000122073
0.000244147,-0.00277717
-0.00454723,-0.0164494
-0.00842306,-0.0169377
-0.0081484,-0.0168461
-0.00866721,-0.0168461
-0.0084841,-0.0165715
-0.00863669,-0.0168461
-0.00860617,-0.0165104
-0.00827047,-0.0169377
-0.0101931,-0.0162358
0.00592056,-0.0230719
0.00296028,-0.0218511
-0.0102236,-0.0159306
-0.00823995,-0.0170598
0.00512708,-0.0229803
0.00418101,-0.0226141
-0.0176396,-0.0128482
-0.0265204,-0.00897239
-0.0137943,-0.0145878
0.00750751,-0.0239874
0.000244147,-0.0213628
-0.0125736,-0.0153202
-0.0142826,-0.0147098
-0.0235296,-0.0099795
0.00378427,-0.0226751
-0.0181279,-0.0124515
-0.0108645,-0.0161137
-0.000762959,-0.0208745
-0.0244757,-0.00955224
0.00350961,-0.0232855
-0.018311,-0.012543
-0.0111087,-0.0160527
-0.00091555,-0.0211797
-0.0243231,-0.00967432
0.00372324,-0.0234076
-0.0184636,-0.0121768
-0.0111087,-0.0160527
-0.0011597,-0.0209966
-0.0247809,-0.00909447
0.00323494,-0.0233465
-0.0186467,-0.0122073
-0.0114444,-0.0159001
-0.00170903,-0.0211797
-0.0247504,-0.00900291
0.00289924,-0.0232245
-0.0188298,-0.0119937
-0.0110782,-0.0158085
-0.00198369,-0.0212408
-0.0246588,-0.00903343
0.00296028,-0.0235907
-0.0185246,-0.0120853
-0.0115359,-0.0159306
-0.00231939,-0.0211492
-0.0245978,-0.00839255
0.00247199,-0.0238348
-0.0191045,-0.011719
-0.0114444,-0.0156864
-0.00213628,-0.0214544
-0.0246283,-0.00830099
0.00231939,-0.0238653
-0.0188603,-0.011658
-0.0115359,-0.0154728
-0.00225836,-0.0214239
-0.0247199,-0.00790425
0.00231939,-0.0236517
-0.0191045,-0.011719
-0.0118411,-0.0156559
-0.00234991,-0.0213018
-0.0248114,-0.00790425
0.00207525,-0.02414
-0.019074,-0.0117801
-0.0121463,-0.0158695
-0.0026551,-0.0213628
-0.0248725,-0.00775166
0.00167851,-0.0241705
-0.0189824,-0.0115665
-0.011658,-0.015839
-0.0026551,-0.0213628
-0.0247504,-0.00747699
0.00164799,-0.0244452
-0.0192266,-0.0111697
-0.0119022,-0.0156254
-0.00292976,-0.021668
-0.0245673,-0.00756855
0.00152592,-0.0244757
-0.019135,-0.0111087
-0.0120242,-0.0157475
-0.00286872,-0.0215765
-0.0247504,-0.0073244
0.00137333,-0.0243231
-0.0191045,-0.0111087
-0.0121463,-0.015839
-0.00296028,-0.0217901
-0.0246588,-0.00720233
0.00128177,-0.0244147
-0.0189519,-0.0112613
-0.0120853,-0.0156254
-0.00323494,-0.0216985
-0.0245673,-0.00708026
0.00091555,-0.0247504
-0.0191655,-0.0109561
-0.0121158,-0.0155949
-0.00292976,-0.0217291
-0.0246588,-0.0069887
0.00125125,-0.0246283
-0.0189214,-0.0109256
-0.0122073,-0.0156559
-0.00308235,-0.021668
-0.0244757,-0.00674455
