Real,Imaginary
-0.0104373,-0.0160527
-0.00640885,-0.00982691
-0.00637833,-0.00970483
-0.00656144,-0.01001
-0.00616471,-0.00946069
-0.00360116,-0.00555434
-0.00158695,-0.00244147
0.000396739,0.000610367
-0.000152592,-0.000274665
3.05183e-05,0.000152592
0.000152592,-9.1555e-05
0.00146488,6.10367e-05
0.00167851,-0.000335702
0.00173955,-0.000305183
0.00164799,-0.000152592
0.00122073,0.000701922
0.00259406,-0.00296028
-0.000976587,-0.0159611
-0.00488294,-0.0167546
-0.00476086,-0.0176396
-0.00485242,-0.0173039
-0.00518812,-0.0177006
-0.00531019,-0.0173344
-0.00534071,-0.0173039
-0.005829,-0.0172123
-0.00585952,-0.0169987
-0.00604263,-0.0171208
-0.00610367,-0.0173039
-0.00634782,-0.0169987
-0.00619522,-0.0171513
-0.00634782,-0.0169682
-0.00619522,-0.0167851
-0.00634782,-0.0169072
-0.00677507,-0.0171818
-0.00692766,-0.0169987
-0.00671404,-0.0169377
-0.00518812,-0.0179143
-0.00463879,-0.0182805
-0.00576797,-0.0175786
-0.00534071,-0.0179753
-0.00488294,-0.0181889
-0.00521864,-0.0180669
-0.00546278,-0.0180974
-0.00521864,-0.0181279
-0.00524916,-0.0180669
-0.00534071,-0.0178838
-0.005829,-0.0176701
-0.00543227,-0.0181889
-0.00711077,-0.0167851
-0.00613419,-0.0173955
-0.0051576,-0.0179753
-0.005829,-0.0177312
-0.00561538,-0.0180974
-0.00570693,-0.0180363
-0.00595108,-0.0178532
-0.00573745,-0.0178532
-0.00592056,-0.0178532
-0.00601211,-0.0178838
-0.00610367,-0.0178532
-0.00601211,-0.0177006
-0.00625626,-0.0177312
-0.0059816,-0.0177922
-0.00607315,-0.0179448
-0.00622574,-0.0177922
-0.00625626,-0.0178227
-0.00613419,-0.0177617
-0.00601211,-0.0178532
-0.00640885,-0.0177922
-0.0063173,-0.0176396
-0.00646989,-0.0177006
-0.0063173,-0.0179143
-0.00622574,-0.0173344
-0.00668352,-0.0175175
-0.006653,-0.0180974
-0.00646989,-0.0178532
-0.00650041,-0.0177006
-0.00659196,-0.0177006
-0.00656144,-0.0177006
-0.006653,-0.0178838
-0.00653093,-0.0175786
-0.0069887,-0.0177922
-0.00640885,-0.0179143
-0.00671404,-0.0176701
-0.0069887,-0.0177312
-0.00656144,-0.0177617
-0.006653,-0.0176091
-0.00674455,-0.0179143
-0.00643937,-0.0178532
